R0,VE,coverage,chance50,chance95
10,0.5,0.8,19.8066666667582,86.6833333333489
5,0.6,0.8,124.055000000051,546.085833333324
6,0.6,0.8,89.0299999999115,396.388666666669
7,0.6,0.8,63.3299999999872,279.615166666705
8,0.6,0.8,55.1999999999825,240.674166666606
9,0.6,0.8,47.2666666666337,203.995499999991
10,0.6,0.8,34.7566666666535,151.673666666669
5,0.7,0.8,341.136666666716,1410.1166666665
6,0.7,0.8,216.991666666581,943.96000000005
7,0.7,0.8,167.638333333336,715.685833333337
8,0.7,0.8,123.331666666665,538.005500000062
9,0.7,0.8,104.69833333329,444.072500000056
10,0.7,0.8,77.5300000000279,337.190666666673
5,0.8,0.8,1521.57000000004,6031.26916666674
6,0.8,0.8,932.781666666851,4219.61966666672
7,0.8,0.8,611.383333333302,2774.02466666643
8,0.8,0.8,410.050000000047,1694.41733333333
9,0.8,0.8,366.39499999996,1542.65916666662
10,0.8,0.8,319.161666666856,1363.45916666684
5,0.9,0.8,7722.7966666671,33689.398166667
6,0.9,0.8,6121.22166666681,24504.9740000002
7,0.9,0.8,4363.08333333395,17707.9399999995
8,0.9,0.8,4018.72000000021,16175.2036666661
9,0.9,0.8,3760.0866666669,16316.0119999998
10,0.9,0.8,3528.83999999985,14762.7086666667
5,0.5,0.9,70.5000000000291,300.224166666609
6,0.5,0.9,46.7200000000012,200.058666666655
7,0.5,0.9,35.8866666666581,156.197999999998
8,0.5,0.9,29.0299999999988,127.082000000076
9,0.5,0.9,22.266666666721,97.1066666666884
10,0.5,0.9,21.1566666666186,90.1470000000561
5,0.6,0.9,138.560000000056,602.404000000004
6,0.6,0.9,104.090000000026,450.139166666631
7,0.6,0.9,72.2083333333321,310.496666666659
8,0.6,0.9,62.8283333333093,270.735833333339
9,0.6,0.9,52.9383333332953,228.041666666613
10,0.6,0.9,38.6350000000093,169.469000000047
5,0.7,0.9,454.41333333333,1924.21216666667
6,0.7,0.9,272.740000000107,1212.47966666676
7,0.7,0.9,196.289999999921,845.001666666684
8,0.7,0.9,155.113333333284,692.490833333257
9,0.7,0.9,128.136666666716,543.713333333362
10,0.7,0.9,91.513333333307,389.549166666695
5,0.8,0.9,2847.79666666687,11344.4046666668
6,0.8,0.9,1482.75500000006,6355.08599999987
7,0.8,0.9,1026.89333333354,4400.66133333332
8,0.8,0.9,572.556666666642,2461.48499999999
9,0.8,0.9,512.816666666651,2154.42333333334
10,0.8,0.9,474.481666666456,1968.91566666682
5,0.9,0.9,15629.5899999999,68862.3516666666
6,0.9,0.9,7664.99833333335,33098.8015000001
7,0.9,0.9,6048.12333333306,26358.682
8,0.9,0.9,7687.685,30450.367
9,0.9,0.9,4890.77833333332,21290.1800000002
10,0.9,0.9,7857.8900000006,31164.5246666665
5,0.5,1,80.2566666666535,345.657333333336
6,0.5,1,50.280000000028,223.136666666646
7,0.5,1,39.3833333333023,172.69066666665
8,0.5,1,32.2416666666686,139.614166666652
9,0.5,1,24.1466666666383,105.189166666685
10,0.5,1,23.5433333333349,101.489166666688
5,0.6,1,168.486666666664,734.097666666692
6,0.6,1,129.569999999992,583.357833333389
7,0.6,1,85.7983333333541,377.423500000016
8,0.6,1,71.7733333333454,307.296333333337
